Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task2, 6250000, 1, 8, 0.001812, 0.127564, 0.129424
Task2, 6250000, 2, 1, 0.015901, 0.890063, 0.906092
Task2, 6250000, 2, 2, 0.011275, 0.447871, 0.459255
Task2, 6250000, 2, 4, 0.013377, 0.228553, 0.241996
Task2, 6250000, 2, 8, 0.010208, 0.116527, 0.126795
Task2, 6250000, 4, 1, 0.026709, 0.446718, 0.473530
Task2, 6250000, 4, 2, 0.024650, 0.232076, 0.256816
Task2, 6250000, 4, 4, 0.029287, 0.114588, 0.144045
Task2, 6250000, 4, 8, 0.027672, 0.069114, 0.098267
Task2, 6250000, 8, 1, 0.018674, 0.224790, 0.252921
Task2, 6250000, 8, 2, 0.024954, 0.114008, 0.147713
Task2, 6250000, 8, 4, 0.019865, 0.059105, 0.086742
Task2, 6500000, 1, 1, 0.004225, 0.942328, 0.946647
Task2, 6500000, 1, 2, 0.004101, 0.473615, 0.477791
Task2, 6500000, 1, 4, 0.003074, 0.238947, 0.242070
Task2, 6500000, 1, 8, 0.003497, 0.127624, 0.131202
Task2, 6500000, 2, 1, 0.013204, 0.941565, 0.954910
Task2, 6500000, 2, 2, 0.010972, 0.472917, 0.484079
Task2, 6500000, 2, 4, 0.013453, 0.243128, 0.256710
Task2, 6500000, 2, 8, 0.012171, 0.131399, 0.143646
Task2, 6500000, 4, 1, 0.038525, 0.481753, 0.520565
Task2, 6500000, 4, 2, 0.029909, 0.241073, 0.271185
Task2, 6500000, 4, 4, 0.030564, 0.120409, 0.151100
Task2, 6500000, 4, 8, 0.035776, 0.070665, 0.106525
Task2, 6500000, 8, 1, 0.023848, 0.236366, 0.269462
Task2, 6500000, 8, 2, 0.023431, 0.119648, 0.153683
Task2, 6500000, 8, 4, 0.021315, 0.061631, 0.092250
Task2, 6750000, 1, 1, 0.003683, 0.993898, 0.997674
Task2, 6750000, 1, 2, 0.002004, 0.500092, 0.502174
Task2, 6750000, 1, 4, 0.003295, 0.261370, 0.264765
Task2, 6750000, 1, 8, 0.002243, 0.139189, 0.141512
Task2, 6750000, 2, 1, 0.018171, 0.993581, 1.011876
Task2, 6750000, 2, 2, 0.017531, 0.499233, 0.516905
Task2, 6750000, 2, 4, 0.013626, 0.250523, 0.264213
Task2, 6750000, 2, 8, 0.018680, 0.129219, 0.147956
Task2, 6750000, 4, 1, 0.029717, 0.496322, 0.529688
Task2, 6750000, 4, 2, 0.036294, 0.254199, 0.290662
Task2, 6750000, 4, 4, 0.027368, 0.126365, 0.153817
Task2, 6750000, 4, 8, 0.029143, 0.068582, 0.097789
Task2, 6750000, 8, 1, 0.023628, 0.251899, 0.284753
Task2, 6750000, 8, 2, 0.025049, 0.127351, 0.161421
Task2, 6750000, 8, 4, 0.019057, 0.065141, 0.095607
Task2, 7000000, 1, 1, 0.002564, 1.047273, 1.049929
Task2, 7000000, 1, 2, 0.001907, 0.526565, 0.528549
Task2, 7000000, 1, 4, 0.003207, 0.272679, 0.275940
Task2, 7000000, 1, 8, 0.002608, 0.137385, 0.140046
Task2, 7000000, 2, 1, 0.016086, 1.045515, 1.061727
Task2, 7000000, 2, 2, 0.018466, 0.526692, 0.545309
Task2, 7000000, 2, 4, 0.017675, 0.267024, 0.285087
Task2, 7000000, 2, 8, 0.013108, 0.142141, 0.155315
Task2, 7000000, 4, 1, 0.030165, 0.524039, 0.554483
Task2, 7000000, 4, 2, 0.024786, 0.265249, 0.290247
Task2, 7000000, 4, 4, 0.027949, 0.134534, 0.162693
Task2, 7000000, 4, 8, 0.028009, 0.069207, 0.097381
Task2, 7000000, 8, 1, 0.022155, 0.263118, 0.293658
Task2, 7000000, 8, 2, 0.024960, 0.143558, 0.178474
Task2, 7000000, 8, 4, 0.020481, 0.069770, 0.100472
